pair_id,item_left_id,item_right_id,item_left_logprob,item_right_logprob,item_left_bucket,item_right_bucket,pair_type,is_anchor,transitivity_triple_id,model_winner_id,model_winner_filename,left_filename,right_filename
0,86,62,-12.327071189880371,-37.531455993652344,A,C,two-apart,False,,86,a_86_logprob-12.33_depth2_扌冖亅.png,a_86_logprob-12.33_depth2_扌冖亅.png,b_62_logprob-37.53_depth3_亻𠃋𡿨且.png
1,70,80,-12.20444107055664,-18.249277114868164,A,B,adjacent,False,,70,a_70_logprob-12.20_depth1_犭于.png,a_70_logprob-12.20_depth1_犭于.png,b_80_logprob-18.25_depth2_山灬𠂒.png
2,68,61,-20.242103576660156,-55.6508903503418,B,C,adjacent,False,,68,a_68_logprob-20.24_depth2_末卜皿.png,a_68_logprob-20.24_depth2_末卜皿.png,b_61_logprob-55.65_depth4_谷𡿨井非龰.png
3,66,65,-15.64544677734375,-55.91950988769531,B,C,adjacent,True,,66,a_66_logprob-15.65_depth2_亻氵且.png,a_66_logprob-15.65_depth2_亻氵且.png,b_65_logprob-55.92_depth2_世𡿨山隹.png
4,72,90,-15.74618148803711,-13.770999908447266,B,A,adjacent,False,,90,b_90_logprob-13.77_depth1_女皿.png,a_72_logprob-15.75_depth2_耳龶缶.png,b_90_logprob-13.77_depth1_女皿.png
5,53,8,-15.87448501586914,-14.421226501464844,B,A,adjacent,False,,8,b_8_logprob-14.42_depth1_手犬.png,a_53_logprob-15.87_depth2_⺊山禺.png,b_8_logprob-14.42_depth1_手犬.png
6,73,31,-13.668036460876465,-28.864253997802734,A,C,two-apart,False,,73,a_73_logprob-13.67_depth1_酉八.png,a_73_logprob-13.67_depth1_酉八.png,b_31_logprob-28.86_depth2_𠂒勹缶.png
7,67,58,-14.852359771728516,-11.490041732788086,B,A,adjacent,False,,58,b_58_logprob-11.49_depth1_氵车.png,a_67_logprob-14.85_depth1_龴九.png,b_58_logprob-11.49_depth1_氵车.png
8,18,61,-12.619673728942871,-55.6508903503418,A,C,two-apart,True,,18,a_18_logprob-12.62_depth1_氵页.png,a_18_logprob-12.62_depth1_氵页.png,b_61_logprob-55.65_depth4_谷𡿨井非龰.png
9,43,66,-31.800039291381836,-15.64544677734375,C,B,adjacent,False,,66,b_66_logprob-15.65_depth2_亻氵且.png,a_43_logprob-31.80_depth2_巨⺊女.png,b_66_logprob-15.65_depth2_亻氵且.png
10,33,29,-18.17842674255371,-47.35588455200195,B,C,adjacent,False,,33,a_33_logprob-18.18_depth2_勹耳瓜.png,a_33_logprob-18.18_depth2_勹耳瓜.png,b_29_logprob-47.36_depth4_山宀且阝𠂊隹.png
11,30,53,-26.583446502685547,-15.87448501586914,C,B,adjacent,False,,53,b_53_logprob-15.87_depth2_⺊山禺.png,a_30_logprob-26.58_depth2_𠂊非言.png,b_53_logprob-15.87_depth2_⺊山禺.png
12,32,80,-11.628571510314941,-18.249277114868164,A,B,adjacent,False,,32,a_32_logprob-11.63_depth1_囗皮.png,a_32_logprob-11.63_depth1_囗皮.png,b_80_logprob-18.25_depth2_山灬𠂒.png
13,12,23,-11.818732261657715,-17.51539421081543,A,B,adjacent,False,,12,a_12_logprob-11.82_depth2_氵冖亅.png,a_12_logprob-11.82_depth2_氵冖亅.png,b_23_logprob-17.52_depth2_疌刂朩.png
14,44,16,-27.561222076416016,-15.000873565673828,C,B,adjacent,False,,16,b_16_logprob-15.00_depth1_钅𡸁.png,a_44_logprob-27.56_depth2_灬灬⺆隹.png,b_16_logprob-15.00_depth1_钅𡸁.png
15,49,51,-12.32369613647461,-17.731124877929688,A,B,adjacent,False,,49,a_49_logprob-12.32_depth1_井阝.png,a_49_logprob-12.32_depth1_井阝.png,b_51_logprob-17.73_depth2_囗乛灬.png
16,13,9,-13.625162124633789,-47.056949615478516,A,C,two-apart,False,,13,a_13_logprob-13.63_depth2_疒灬灬.png,a_13_logprob-13.63_depth2_疒灬灬.png,b_9_logprob-47.06_depth2_𠂊㐅木龰.png
17,25,56,-26.89478302001953,-13.845137596130371,C,A,two-apart,False,,56,b_56_logprob-13.85_depth2_山隹阝.png,a_25_logprob-26.89_depth2_厂木灬.png,b_56_logprob-13.85_depth2_山隹阝.png
18,4,25,-14.553768157958984,-26.89478302001953,B,C,adjacent,False,,4,a_4_logprob-14.55_depth2_亻宀朩.png,a_4_logprob-14.55_depth2_亻宀朩.png,b_25_logprob-26.89_depth2_厂木灬.png
19,15,61,-15.248077392578125,-55.6508903503418,B,C,adjacent,True,,15,a_15_logprob-15.25_depth2_𠂊止皮.png,a_15_logprob-15.25_depth2_𠂊止皮.png,b_61_logprob-55.65_depth4_谷𡿨井非龰.png
20,88,9,-11.282393455505371,-47.056949615478516,A,C,two-apart,False,,88,a_88_logprob-11.28_depth1_亻井.png,a_88_logprob-11.28_depth1_亻井.png,b_9_logprob-47.06_depth2_𠂊㐅木龰.png
21,5,57,-18.447521209716797,-32.50326919555664,B,C,adjacent,False,3.0,5,a_5_logprob-18.45_depth1_日止.png,a_5_logprob-18.45_depth1_日止.png,b_57_logprob-32.50_depth3_𠂊厶入米.png
22,23,25,-17.51539421081543,-26.89478302001953,B,C,adjacent,False,,23,a_23_logprob-17.52_depth2_疌刂朩.png,a_23_logprob-17.52_depth2_疌刂朩.png,b_25_logprob-26.89_depth2_厂木灬.png
23,20,67,-44.37883758544922,-14.852359771728516,C,B,adjacent,False,,67,b_67_logprob-14.85_depth1_龴九.png,a_20_logprob-44.38_depth2_虫丹𠀍.png,b_67_logprob-14.85_depth1_龴九.png
24,36,75,-30.93015480041504,-17.021526336669922,C,B,adjacent,False,1.0,75,b_75_logprob-17.02_depth2_亻于朩.png,a_36_logprob-30.93_depth2_𡿨灬冘.png,b_75_logprob-17.02_depth2_亻于朩.png
25,58,3,-11.490041732788086,-41.543251037597656,A,C,two-apart,False,,58,a_58_logprob-11.49_depth1_氵车.png,a_58_logprob-11.49_depth1_氵车.png,b_3_logprob-41.54_depth3_𠂉灬欠寸夊.png
26,17,71,-31.419925689697266,-17.296186447143555,C,B,adjacent,False,,71,b_71_logprob-17.30_depth2_纟灬示.png,a_17_logprob-31.42_depth2_木隹隹.png,b_71_logprob-17.30_depth2_纟灬示.png
27,4,54,-14.553768157958984,-12.640939712524414,B,A,adjacent,False,,54,b_54_logprob-12.64_depth1_牛非.png,a_4_logprob-14.55_depth2_亻宀朩.png,b_54_logprob-12.64_depth1_牛非.png
28,44,56,-27.561222076416016,-13.845137596130371,C,A,two-apart,False,,56,b_56_logprob-13.85_depth2_山隹阝.png,a_44_logprob-27.56_depth2_灬灬⺆隹.png,b_56_logprob-13.85_depth2_山隹阝.png
29,90,11,-13.770999908447266,-35.27238464355469,A,C,two-apart,False,,90,a_90_logprob-13.77_depth1_女皿.png,a_90_logprob-13.77_depth1_女皿.png,b_11_logprob-35.27_depth3_扌山寸犬.png
30,59,49,-52.70266342163086,-12.32369613647461,C,A,two-apart,True,,49,b_49_logprob-12.32_depth1_井阝.png,a_59_logprob-52.70_depth3_𠂊𠁱頁𠂉灬.png,b_49_logprob-12.32_depth1_井阝.png
31,80,35,-18.249277114868164,-34.89384841918945,B,C,adjacent,False,,80,a_80_logprob-18.25_depth2_山灬𠂒.png,a_80_logprob-18.25_depth2_山灬𠂒.png,b_35_logprob-34.89_depth2_𡿨灬止㇉.png
32,37,48,-18.13975715637207,-33.864952087402344,B,C,adjacent,False,,37,a_37_logprob-18.14_depth3_⺊厂工刂.png,a_37_logprob-18.14_depth3_⺊厂工刂.png,b_48_logprob-33.86_depth2_疒㇀女.png
33,93,24,-11.977619171142578,-25.57851791381836,A,C,two-apart,False,,93,a_93_logprob-11.98_depth1_車朿.png,a_93_logprob-11.98_depth1_車朿.png,b_24_logprob-25.58_depth2_亻木比.png
34,2,46,-37.35856246948242,-12.983068466186523,C,A,two-apart,False,,46,b_46_logprob-12.98_depth1_几也.png,a_2_logprob-37.36_depth4_⺊𡿨凵乚酉.png,b_46_logprob-12.98_depth1_几也.png
35,48,92,-33.864952087402344,-16.640344619750977,C,B,adjacent,False,,92,b_92_logprob-16.64_depth2_衤冖车.png,a_48_logprob-33.86_depth2_疒㇀女.png,b_92_logprob-16.64_depth2_衤冖车.png
36,2,77,-37.35856246948242,-11.432538986206055,C,A,two-apart,False,,77,b_77_logprob-11.43_depth1_木㔾.png,a_2_logprob-37.36_depth4_⺊𡿨凵乚酉.png,b_77_logprob-11.43_depth1_木㔾.png
37,63,62,-19.64266586303711,-37.531455993652344,B,C,adjacent,False,,63,a_63_logprob-19.64_depth2_豸虫車.png,a_63_logprob-19.64_depth2_豸虫車.png,b_62_logprob-37.53_depth3_亻𠃋𡿨且.png
38,20,26,-44.37883758544922,-12.743080139160156,C,A,two-apart,False,2.0,26,b_26_logprob-12.74_depth1_尸重.png,a_20_logprob-44.38_depth2_虫丹𠀍.png,b_26_logprob-12.74_depth1_尸重.png
39,1,76,-11.010005950927734,-17.037097930908203,A,B,adjacent,False,,1,a_1_logprob-11.01_depth1_言言.png,a_1_logprob-11.01_depth1_言言.png,b_76_logprob-17.04_depth2_厂龴隹.png
40,28,79,-40.24191665649414,-17.48951530456543,C,B,adjacent,False,,79,b_79_logprob-17.49_depth1_永牛.png,a_28_logprob-40.24_depth3_舟乛厶𠃛.png,b_79_logprob-17.49_depth1_永牛.png
41,29,12,-47.35588455200195,-11.818732261657715,C,A,two-apart,False,,12,b_12_logprob-11.82_depth2_氵冖亅.png,a_29_logprob-47.36_depth4_山宀且阝𠂊隹.png,b_12_logprob-11.82_depth2_氵冖亅.png
42,56,22,-13.845137596130371,-28.21929931640625,A,C,two-apart,False,,56,a_56_logprob-13.85_depth2_山隹阝.png,a_56_logprob-13.85_depth2_山隹阝.png,b_22_logprob-28.22_depth2_牛木子.png
43,34,96,-30.464183807373047,-16.297285079956055,C,B,adjacent,False,4.0,96,b_96_logprob-16.30_depth2_饣罒虫.png,a_34_logprob-30.46_depth3_亻勹米犬.png,b_96_logprob-16.30_depth2_饣罒虫.png
44,46,11,-12.983068466186523,-35.27238464355469,A,C,two-apart,False,,46,a_46_logprob-12.98_depth1_几也.png,a_46_logprob-12.98_depth1_几也.png,b_11_logprob-35.27_depth3_扌山寸犬.png
45,57,87,-32.50326919555664,-13.239533424377441,C,A,two-apart,False,3.0,87,b_87_logprob-13.24_depth1_冂兆.png,a_57_logprob-32.50_depth3_𠂊厶入米.png,b_87_logprob-13.24_depth1_冂兆.png
46,83,65,-12.960450172424316,-55.91950988769531,A,C,two-apart,True,,83,a_83_logprob-12.96_depth2_氵耂厶.png,a_83_logprob-12.96_depth2_氵耂厶.png,b_65_logprob-55.92_depth2_世𡿨山隹.png
47,86,21,-12.327071189880371,-30.815937042236328,A,C,two-apart,False,,86,a_86_logprob-12.33_depth2_扌冖亅.png,a_86_logprob-12.33_depth2_扌冖亅.png,b_21_logprob-30.82_depth3_扌疒𠂆米.png
48,48,8,-33.864952087402344,-14.421226501464844,C,A,two-apart,False,,8,b_8_logprob-14.42_depth1_手犬.png,a_48_logprob-33.86_depth2_疒㇀女.png,b_8_logprob-14.42_depth1_手犬.png
49,97,44,-11.373589515686035,-27.561222076416016,A,C,two-apart,False,,97,a_97_logprob-11.37_depth1_衤隹.png,a_97_logprob-11.37_depth1_衤隹.png,b_44_logprob-27.56_depth2_灬灬⺆隹.png
50,80,45,-18.249277114868164,-55.62016296386719,B,C,adjacent,False,,80,a_80_logprob-18.25_depth2_山灬𠂒.png,a_80_logprob-18.25_depth2_山灬𠂒.png,b_45_logprob-55.62_depth3_女欠灬朩.png
51,64,57,-11.007408142089844,-32.50326919555664,A,C,two-apart,False,,64,a_64_logprob-11.01_depth1_亻丑.png,a_64_logprob-11.01_depth1_亻丑.png,b_57_logprob-32.50_depth3_𠂊厶入米.png
52,49,3,-12.32369613647461,-41.543251037597656,A,C,two-apart,False,,49,a_49_logprob-12.32_depth1_井阝.png,a_49_logprob-12.32_depth1_井阝.png,b_3_logprob-41.54_depth3_𠂉灬欠寸夊.png
53,66,70,-15.64544677734375,-12.20444107055664,B,A,adjacent,False,,70,b_70_logprob-12.20_depth1_犭于.png,a_66_logprob-15.65_depth2_亻氵且.png,b_70_logprob-12.20_depth1_犭于.png
54,87,5,-13.239533424377441,-18.447521209716797,A,B,adjacent,False,3.0,87,a_87_logprob-13.24_depth1_冂兆.png,a_87_logprob-13.24_depth1_冂兆.png,b_5_logprob-18.45_depth1_日止.png
55,65,55,-55.91950988769531,-14.751511573791504,C,B,adjacent,True,,55,b_55_logprob-14.75_depth2_犭山示.png,a_65_logprob-55.92_depth2_世𡿨山隹.png,b_55_logprob-14.75_depth2_犭山示.png
56,63,13,-19.64266586303711,-13.625162124633789,B,A,adjacent,False,,13,b_13_logprob-13.63_depth2_疒灬灬.png,a_63_logprob-19.64_depth2_豸虫車.png,b_13_logprob-13.63_depth2_疒灬灬.png
57,98,14,-12.740032196044922,-36.649452209472656,A,C,two-apart,False,,98,a_98_logprob-12.74_depth1_虫生.png,a_98_logprob-12.74_depth1_虫生.png,b_14_logprob-36.65_depth3_衤𠂉灬几.png
58,83,91,-12.960450172424316,-18.618663787841797,A,B,adjacent,False,,83,a_83_logprob-12.96_depth2_氵耂厶.png,a_83_logprob-12.96_depth2_氵耂厶.png,b_91_logprob-18.62_depth2_重𠂊龰.png
59,10,0,-45.127925872802734,-11.490913391113281,C,A,two-apart,False,,0,b_0_logprob-11.49_depth1_⺊牙.png,a_10_logprob-45.13_depth2_示𠂉缶頁.png,b_0_logprob-11.49_depth1_⺊牙.png
60,6,30,-16.21480369567871,-26.583446502685547,B,C,adjacent,False,,6,a_6_logprob-16.21_depth1_承隹.png,a_6_logprob-16.21_depth1_承隹.png,b_30_logprob-26.58_depth2_𠂊非言.png
61,27,73,-17.570690155029297,-13.668036460876465,B,A,adjacent,False,,73,b_73_logprob-13.67_depth1_酉八.png,a_27_logprob-17.57_depth2_酉山民.png,b_73_logprob-13.67_depth1_酉八.png
62,41,24,-16.394723892211914,-25.57851791381836,B,C,adjacent,False,,41,a_41_logprob-16.39_depth1_民及.png,a_41_logprob-16.39_depth1_民及.png,b_24_logprob-25.58_depth2_亻木比.png
63,33,32,-18.17842674255371,-11.628571510314941,B,A,adjacent,False,,32,b_32_logprob-11.63_depth1_囗皮.png,a_33_logprob-18.18_depth2_勹耳瓜.png,b_32_logprob-11.63_depth1_囗皮.png
64,11,84,-35.27238464355469,-16.359115600585938,C,B,adjacent,False,,84,b_84_logprob-16.36_depth2_宀龰𠂒.png,a_11_logprob-35.27_depth3_扌山寸犬.png,b_84_logprob-16.36_depth2_宀龰𠂒.png
65,26,17,-12.743080139160156,-31.419925689697266,A,C,two-apart,False,,26,a_26_logprob-12.74_depth1_尸重.png,a_26_logprob-12.74_depth1_尸重.png,b_17_logprob-31.42_depth2_木隹隹.png
66,52,57,-16.22441291809082,-32.50326919555664,B,C,adjacent,False,,52,a_52_logprob-16.22_depth2_車阝皿.png,a_52_logprob-16.22_depth2_車阝皿.png,b_57_logprob-32.50_depth3_𠂊厶入米.png
67,50,55,-59.17383575439453,-14.751511573791504,C,B,adjacent,True,,55,b_55_logprob-14.75_depth2_犭山示.png,a_50_logprob-59.17_depth4_⺌𠂉𠃋皿宀刂.png,b_55_logprob-14.75_depth2_犭山示.png
68,74,77,-17.417034149169922,-11.432538986206055,B,A,adjacent,False,,77,b_77_logprob-11.43_depth1_木㔾.png,a_74_logprob-17.42_depth2_彳言阝.png,b_77_logprob-11.43_depth1_木㔾.png
69,89,78,-18.78948402404785,-14.238065719604492,B,A,adjacent,False,,78,b_78_logprob-14.24_depth2_木尸比.png,a_89_logprob-18.79_depth2_言耂头.png,b_78_logprob-14.24_depth2_木尸比.png
70,85,96,-13.292071342468262,-16.297285079956055,A,B,adjacent,False,4.0,85,a_85_logprob-13.29_depth1_木瓦.png,a_85_logprob-13.29_depth1_木瓦.png,b_96_logprob-16.30_depth2_饣罒虫.png
71,59,4,-52.70266342163086,-14.553768157958984,C,B,adjacent,False,,4,b_4_logprob-14.55_depth2_亻宀朩.png,a_59_logprob-52.70_depth3_𠂊𠁱頁𠂉灬.png,b_4_logprob-14.55_depth2_亻宀朩.png
72,99,47,-13.477965354919434,-21.60977554321289,A,C,two-apart,False,0.0,99,a_99_logprob-13.48_depth1_兆犬.png,a_99_logprob-13.48_depth1_兆犬.png,b_47_logprob-21.61_depth3_酉山疋灬.png
73,79,99,-17.48951530456543,-13.477965354919434,B,A,adjacent,False,,99,b_99_logprob-13.48_depth1_兆犬.png,a_79_logprob-17.49_depth1_永牛.png,b_99_logprob-13.48_depth1_兆犬.png
74,47,18,-21.60977554321289,-12.619673728942871,C,A,two-apart,False,,18,b_18_logprob-12.62_depth1_氵页.png,a_47_logprob-21.61_depth3_酉山疋灬.png,b_18_logprob-12.62_depth1_氵页.png
